start_ms,end_ms,label
3450,4465,interviewer_speaking
4465,5340,pause_question
5340,7295,interviewer_speaking
7295,8012,pause_question
8012,10217,interviewer_speaking
10217,11780,pause_question
11780,12767,interviewee_speaking
12767,14193,interviewer_speaking
14193,15080,interviewee_speaking
15080,17845,interviewer_speaking
17845,19137,pause_question
19137,21043,interviewer_speaking
21043,23101,interviewee_speaking
23101,26461,interviewer_speaking
26461,32420,pause_question
32420,33065,interviewer_speaking
33065,33655,pause_question
33655,35545,interviewer_speaking
35545,37245,pause_question
37245,41485,interviewer_speaking
41485,42215,pause_question
42215,44721,interviewer_speaking
44721,46775,pause_question
46775,47395,interviewee_speaking
47395,48105,pause_narrative
48105,52145,interviewee_speaking
52145,53135,pause_narrative
53135,53635,interviewee_speaking
53635,55005,pause_narrative
55005,55705,interviewee_speaking
55705,56431,pause_narrative
56431,58365,interviewee_speaking
58365,59065,pause_narrative
59065,62505,interviewee_speaking
62505,63165,pause_narrative
63165,63835,interviewee_speaking
63835,64435,pause_narrative
64435,66605,interviewee_speaking
66605,67185,pause_narrative
67185,67685,interviewee_speaking
67685,68725,pause_narrative
68725,72085,interviewee_speaking
72085,72865,pause_narrative
72865,75225,interviewee_speaking
75225,75875,pause_narrative
75875,77965,interviewee_speaking
77965,78765,pause_narrative
78765,79925,interviewee_speaking
79925,81275,pause_narrative
81275,85305,interviewee_speaking
85305,86535,pause_narrative
86535,88655,interviewee_speaking
88655,89755,pause_narrative
89755,91187,interviewee_speaking
91187,92575,pause_narrative
92575,97205,interviewee_speaking
97205,98465,pause_narrative
98465,101275,interviewee_speaking
101275,102775,pause_narrative
102775,112455,interviewee_speaking
112455,113255,pause_narrative
113255,116725,interviewee_speaking
116725,118505,pause_narrative
118505,121705,interviewee_speaking
121705,122471,pause_narrative
122471,127305,interviewee_speaking
127305,128005,pause_narrative
128005,130365,interviewee_speaking
130365,131415,pause_narrative
131415,135265,interviewee_speaking
135265,137465,pause_narrative
137465,139715,interviewee_speaking
139715,140295,pause_narrative
140295,141135,interviewee_speaking
141135,141685,pause_narrative
141685,143125,interviewee_speaking
143125,143685,pause_narrative
143685,146755,interviewee_speaking
146755,147755,pause_narrative
