start_ms,end_ms,label
10955,11680,interviewer_speaking
11680,12360,pause_question
12360,15035,interviewer_speaking
15035,21265,pause_question
21265,22700,interviewee_speaking
22700,23470,pause_narrative
23470,24100,interviewee_speaking
24100,25330,pause_narrative
25330,25830,interviewee_speaking
25830,27220,pause_narrative
27220,28990,interviewee_speaking
28990,29700,pause_narrative
29700,32030,interviewee_speaking
32030,32680,pause_narrative
32680,33180,interviewee_speaking
33180,34180,pause_narrative
34180,37800,interviewee_speaking
37800,39590,pause_narrative
39590,42350,interviewee_speaking
42350,43520,pause_narrative
43520,45060,interviewee_speaking
45060,46220,pause_narrative
46220,47320,interviewee_speaking
47320,48530,pause_narrative
48530,49030,interviewee_speaking
49030,50845,pause_narrative
50845,51345,interviewee_speaking
51345,54160,pause_narrative
54160,54660,interviewee_speaking
54660,55800,pause_narrative
55800,59480,interviewee_speaking
59480,60090,pause_narrative
60090,60970,interviewee_speaking
60970,62170,pause_narrative
62170,62920,interviewee_speaking
62920,63550,pause_narrative
63550,65280,interviewee_speaking
65280,66100,pause_narrative
66100,66600,interviewee_speaking
66600,67640,pause_narrative
67640,69880,interviewee_speaking
69880,70530,pause_narrative
70530,71170,interviewee_speaking
71170,72320,pause_narrative
72320,73170,interviewee_speaking
73170,74469,pause_narrative
74469,77520,interviewee_speaking
77520,78540,pause_narrative
78540,81090,interviewee_speaking
81090,81800,pause_narrative
81800,83320,interviewee_speaking
83320,83940,pause_narrative
83940,87820,interviewee_speaking
87820,89399,pause_narrative
89399,89899,interviewee_speaking
89899,92180,pause_narrative
92180,95980,interviewee_speaking
95980,96530,pause_narrative
96530,97030,interviewee_speaking
97030,98015,pause_narrative
98015,99270,interviewee_speaking
99270,100290,pause_narrative
100290,102180,interviewee_speaking
102180,103470,pause_narrative
103470,106500,interviewee_speaking
106500,107510,pause_narrative
107510,109240,interviewee_speaking
109240,109880,pause_narrative
109880,111100,interviewee_speaking
111100,112220,pause_narrative
112220,114130,interviewee_speaking
114130,116010,pause_narrative
116010,124300,interviewee_speaking
124300,125800,pause_narrative
125800,137110,interviewee_speaking
137110,138390,pause_narrative
138390,142050,interviewee_speaking
142050,142970,pause_narrative
142970,143850,interviewee_speaking
143850,144370,pause_narrative
144370,145120,interviewee_speaking
145120,146030,pause_narrative
146030,147070,interviewee_speaking
147070,147790,pause_narrative
147790,151530,interviewee_speaking
151530,152950,pause_narrative
152950,154530,interviewee_speaking
154530,155390,pause_narrative
155390,157588,interviewee_speaking
157588,160920,pause_narrative
160920,162450,interviewee_speaking
162450,164560,pause_narrative
164560,165660,interviewee_speaking
165660,166370,pause_narrative
166370,168900,interviewee_speaking
